,ID,Name,Country,Lat,Lng,CurrCond,TempF,Hum,Cloud,WindSpd,DateTime,EqtrDist
81,3418910,Upernavik,GL,72.79,-56.15,Clouds,39.72,80,96,7.83,1562138816,5037.068
82,262462,Saint George,GR,39.45,22.34,Clear,84.78,45,0,1.68,1562138817,2729.9400000000005
83,4372777,Vardo,US,39.62,-77.74,Clouds,71.01,83,20,5.82,1562138817,2741.7039999999997
84,2110227,Butaritari,KI,3.07,172.79,Clear,85.08,66,2,4.99,1562138817,212.444
85,2173911,Broken Hill,AU,-31.97,141.45,Clear,59.0,44,0,17.22,1562138817,2212.324
86,3666042,Vigia del Fuerte,CO,6.58,-76.89,Rain,71.94,97,98,0.58,1562138818,455.336
87,654363,Kankaanpaa,FI,61.8,22.42,Clear,58.48,54,0,13.87,1562138819,4276.56
88,1636308,Manokwari,ID,-0.87,134.08,Rain,79.32,78,77,5.88,1562138819,60.204
89,704204,Zarichne,UA,49.02,37.94,Clouds,72.66,64,18,7.85,1562138821,3392.184
90,3899539,Antofagasta,CL,-23.65,-70.4,Clouds,55.4,87,90,8.05,1562138821,1636.58
91,2508813,Adrar,DZ,27.87,-0.29,Clear,91.4,13,0,11.41,1562138822,1928.604
92,2088122,Port Moresby,PG,-9.47,147.16,Haze,77.0,83,40,23.04,1562138822,655.3240000000001
93,1634614,Nabire,ID,-3.36,135.5,Rain,76.08,94,100,3.65,1562138822,232.512
94,6071421,Meadow Lake,CA,54.13,-108.44,Clouds,45.66,91,49,6.11,1562138823,3745.7960000000003
95,338345,Edd,ER,13.93,41.69,Clouds,101.82,12,51,16.15,1562138823,963.956
96,2092164,Lorengau,PG,-2.02,147.27,Rain,82.02,78,59,6.11,1562138823,139.78400000000002
97,2121025,Srednekolymsk,RU,67.46,153.71,Clouds,66.36,42,54,9.98,1562138823,4668.232
98,1283334,Birin,NP,26.89,88.07,Rain,71.4,88,26,4.9,1562138824,1860.788
99,7521947,Maracas,TT,10.76,-61.44,Clouds,75.49,94,20,17.6,1562138824,744.592
100,1264407,Mahbubnagar,IN,16.74,77.99,Clouds,79.14,72,100,17.2,1562138824,1158.408
101,2126199,Cherskiy,RU,68.75,161.3,Clouds,50.34,55,71,16.93,1562138825,4757.5
102,2027042,Batagay-Alyta,RU,67.8,130.41,Clouds,37.2,88,100,8.39,1562138825,4691.76
103,6068416,Mayo,CA,63.59,-135.9,Clouds,62.6,63,90,3.36,1562138825,4400.428000000001
104,934649,Cap Malheureux,MU,-19.98,57.61,Rain,72.7,78,75,10.29,1562138825,1382.616
105,2527089,Tiznit,MA,29.7,-9.73,Clear,65.28,91,2,8.72,1562138826,2055.2400000000002
106,2015913,Suntar,RU,62.16,117.65,Clouds,55.56,48,100,9.13,1562138826,4301.472
107,2517679,Fortuna,ES,38.18,-1.13,Clear,76.17,73,0,1.12,1562138826,2642.056
108,2274895,Monrovia,LR,6.33,-10.8,Rain,77.0,94,75,4.7,1562138827,438.036
109,3421765,Nanortalik,GL,60.14,-45.24,Clear,38.46,83,0,5.93,1562138828,4161.688
110,1640902,Kawalu,ID,-7.38,108.21,Clouds,82.74,55,19,8.12,1562138829,510.696
111,546105,Nikolskoye,RU,59.7,30.79,Clouds,64.0,67,75,8.95,1562138830,4131.240000000001
112,4020109,Atuona,PF,-9.8,-139.03,Rain,80.22,77,10,14.88,1562138831,678.1600000000001
113,110690,Faya,SA,18.39,42.45,Clear,89.6,11,0,11.41,1562138831,1272.5880000000002
114,1621313,Ambulu,ID,-8.35,113.61,Clear,76.44,89,8,18.88,1562138831,577.82
115,1214724,Langsa,ID,4.47,97.97,Clouds,84.36,50,100,4.88,1562138585,309.324
116,3424607,Tasiilaq,GL,65.61,-37.64,Rain,42.06,70,100,15.32,1562138832,4540.212
117,4975802,Portland,US,43.66,-70.25,Clear,61.07,93,1,3.51,1562138524,3021.272
118,64814,Bandarbeyla,SO,9.49,50.81,Clouds,88.68,36,71,31.21,1562138709,656.7080000000001
119,6138908,Saint-Philippe,CA,45.36,-73.48,Clear,67.28,88,1,6.93,1562138833,3138.9120000000003
120,964432,Port Alfred,ZA,-33.59,26.89,Clouds,66.99,59,63,4.0,1562138833,2324.4280000000003
121,3453439,Ponta do Sol,BR,-20.63,-46.0,Clouds,59.34,66,28,3.49,1562138833,1427.596
122,3430443,Necochea,AR,-38.55,-58.74,Rain,43.32,72,71,15.05,1562138833,2667.66
123,1503153,Klyuchi,RU,52.25,79.17,Clouds,73.56,48,96,11.43,1562138834,3615.7000000000003
124,2155415,New Norfolk,AU,-42.78,147.06,Clouds,48.52,66,40,1.28,1562138834,2960.376
125,3380290,Sinnamary,GF,5.38,-52.96,Rain,76.98,85,88,9.31,1562138834,372.296
126,3897774,Buin,CL,-33.73,-70.74,Clear,35.6,50,10,3.36,1562138835,2334.116
127,1260206,Pasighat,IN,28.06,95.33,Rain,81.48,84,79,3.29,1562138835,1941.752
128,2512186,Puerto del Rosario,ES,28.5,-13.86,Clouds,71.6,64,75,16.11,1562138835,1972.2
129,2160053,Lithgow,AU,-33.48,150.16,Clouds,54.84,72,90,9.17,1562138836,2316.816
130,1106677,Bambous Virieux,MU,-20.34,57.76,Rain,72.59,78,75,10.29,1562138837,1407.528
131,3461733,Guiratinga,BR,-16.35,-53.76,Clear,64.38,57,0,3.44,1562138837,1131.42
132,1507390,Dikson,RU,73.51,80.55,Clouds,39.54,90,100,14.63,1562138838,5086.892000000001
133,4031574,Provideniya,RU,64.42,-173.23,Fog,46.4,93,90,8.95,1562138839,4457.8640000000005
134,5210117,Saint Marys,US,41.43,-78.56,Rain,67.39,100,90,5.82,1562138839,2866.956
135,4696310,Harper,US,30.3,-99.24,Clouds,73.9,88,90,8.05,1562138840,2096.76
136,3837213,San Juan,AR,-31.54,-68.53,Clear,37.02,35,2,0.98,1562138797,2182.568
137,1486983,Volchikha,RU,52.02,80.36,Clouds,76.98,39,98,6.62,1562138840,3599.7840000000006
138,882955,Manica,MZ,-18.94,32.88,Clouds,64.4,93,75,2.53,1562138840,1310.6480000000001
139,1865309,Katsuura,JP,33.93,134.5,Rain,73.4,94,75,19.46,1562138841,2347.956
140,5855927,Hilo,US,19.71,-155.08,Clouds,71.35,83,20,6.42,1562138737,1363.932
141,3451399,Ribas do Rio Pardo,BR,-20.45,-53.76,Clear,63.48,57,0,2.46,1562138841,1415.14
142,1486321,Yar-Sale,RU,66.83,70.83,Clear,82.56,38,0,12.5,1562138841,4624.636
143,542133,Krasnoyarskiy,RU,51.97,59.9,Clouds,63.48,76,100,7.99,1562138842,3596.324
144,3580279,Gouyave,GD,12.16,-61.73,Clouds,78.8,83,20,4.7,1562138842,841.4720000000001
145,6170031,Tuktoyaktuk,CA,69.44,-133.03,Clouds,38.64,93,95,8.48,1562138842,4805.248
146,4021858,Guerrero Negro,MX,27.97,-114.04,Clear,66.9,83,0,16.04,1562138842,1935.524
147,6355222,Yulara,AU,-25.24,130.99,Clear,73.4,17,0,10.29,1562138843,1746.608
148,5959803,Capreol,CA,46.71,-80.92,Clear,59.0,68,5,5.82,1562138843,3232.3320000000003
149,4863349,Basco,US,40.33,-91.2,Clear,75.72,88,1,4.52,1562138843,2790.836
150,1629965,Arawa,ID,-3.93,119.75,Rain,81.3,77,48,9.31,1562138843,271.956
151,3671765,Prado,CO,3.75,-74.93,Clouds,74.82,68,72,3.53,1562138844,259.5
152,2136825,Isangel,VU,-19.55,169.27,Clouds,77.0,78,75,2.57,1562138844,1352.8600000000001
153,3652257,Rosa Zarate,EC,0.33,-79.47,Clear,69.24,97,2,2.04,1562138664,22.836000000000002
154,2068655,Katherine,AU,-14.47,132.26,Clouds,86.0,17,75,9.17,1562138845,1001.3240000000001
155,2057087,Kupang,ID,-10.16,123.6,Clouds,87.8,43,20,19.46,1562138845,703.072
156,1028434,Quelimane,MZ,-17.88,36.89,Clouds,75.2,88,75,5.99,1562138846,1237.296
157,5954718,Flin Flon,CA,54.77,-101.88,Clouds,47.1,68,48,10.29,1562138847,3790.0840000000003
158,1651810,Airai,TL,-8.93,125.41,Clouds,85.98,48,94,3.78,1562138848,617.956
159,2014624,Udachnyy,RU,66.42,112.4,Clear,57.2,41,0,6.71,1562138848,4596.264
160,1729469,Baculin,PH,7.45,126.58,Rain,79.32,85,70,5.03,1562138849,515.5400000000001
161,4036284,Alofi,NU,-19.06,-169.92,Rain,71.6,88,66,13.87,1562138849,1318.952
162,2618795,Klaksvik,FO,62.23,-6.59,Clouds,50.0,81,28,13.87,1562138849,4306.316
163,1244926,Hambantota,LK,6.12,81.12,Clouds,87.8,79,75,16.11,1562138849,423.504
164,204953,Tshikapa,CD,-6.42,20.79,Clouds,70.86,34,39,5.21,1562138850,444.264
165,548747,Kiknur,RU,57.3,47.21,Clouds,65.1,66,11,9.82,1562138850,3965.16
166,2012956,Yerbogachen,RU,61.28,108.01,Clear,69.42,29,0,10.71,1562138850,4240.576
167,3115739,Naron,ES,43.52,-8.15,Clouds,62.53,88,75,2.24,1562138850,3011.5840000000003
168,2729907,Longyearbyen,NO,78.22,15.63,Clouds,44.6,70,75,16.11,1562138851,5412.8240000000005
169,2035707,Mujiayingzi,CN,42.12,118.78,Clouds,79.68,29,33,6.76,1562138851,2914.7039999999997
170,4470244,Havelock,US,34.88,-76.9,Mist,80.33,88,40,10.29,1562138852,2413.6960000000004
171,3355672,Luderitz,NA,-26.65,15.16,Clear,53.6,71,0,3.36,1562138852,1844.18
172,1807687,Huangzhai,CN,23.86,112.01,Rain,79.86,93,97,3.47,1562138852,1651.112
173,2013918,Ust-Maya,RU,60.42,134.54,Rain,53.04,94,100,1.41,1562138852,4181.064
174,2189343,Kaeo,NZ,-35.1,173.78,Rain,62.01,94,74,5.01,1562138853,2428.92
175,3143034,Ovre Ardal,NO,61.32,7.8,Rain,41.0,80,75,27.51,1562138853,4243.344
176,583345,Aleksandrov Gay,RU,50.14,48.57,Clouds,76.08,59,31,13.33,1562138853,3469.688
177,3576994,Cockburn Town,TC,21.46,-71.14,Clear,81.48,78,0,12.5,1562138854,1485.0320000000002
178,2112802,Hasaki,JP,35.73,140.83,Clouds,75.65,88,75,6.93,1562138855,2472.516
179,1045114,Inhambane,MZ,-23.87,35.38,Clouds,66.2,88,20,2.57,1562138856,1651.804
180,2018735,Nyurba,RU,63.29,118.35,Clouds,55.2,46,95,9.82,1562138856,4379.668000000001
181,262462,Chara,GR,39.42,22.43,Clear,84.76,45,0,1.68,1562138857,2727.864
182,5656882,Helena,US,46.59,-112.04,Clouds,50.41,87,90,5.82,1562138589,3224.0280000000002
183,4735966,Temple,US,31.1,-97.34,Clouds,73.92,100,75,8.05,1562138771,2152.1200000000003
184,6113365,Prince George,CA,53.92,-122.75,Clear,56.14,66,1,8.05,1562138858,3731.264
185,556268,Ostrovnoy,RU,68.05,39.51,Clouds,51.06,92,100,5.5,1562138858,4709.06
186,1580240,Hue,VN,16.47,107.58,Clouds,93.2,52,40,9.17,1562138858,1139.724
187,3932145,Pisco,PE,-13.71,-76.2,Clouds,61.5,82,90,8.05,1562138859,948.7320000000001
188,716247,Putnok,HU,48.29,20.43,Clouds,67.44,72,82,2.68,1562138859,3341.668
189,2270385,Camacha,PT,33.08,-16.33,Clouds,68.0,72,75,13.87,1562138859,2289.136
190,2027487,Arkhara,RU,49.42,130.09,Rain,69.42,86,55,9.73,1562138859,3419.864
191,1623197,Tual,ID,-5.67,132.75,Clouds,78.42,80,71,18.97,1562138860,392.36400000000003
192,3863379,Mar del Plata,AR,-46.43,-67.52,Clouds,30.72,91,98,12.86,1562138860,3212.956
193,2647984,Great Yarmouth,GB,52.61,1.73,Clear,61.21,77,0,3.36,1562138860,3640.612
194,1859964,Kaseda,JP,31.42,130.32,Rain,71.85,94,90,5.82,1562138861,2174.264
195,5882953,Aklavik,CA,68.22,-135.01,Clouds,51.8,76,40,4.7,1562138861,4720.8240000000005
196,236901,Ouadda,CF,8.07,22.4,Rain,68.7,92,100,6.06,1562138861,558.4440000000001
197,2158744,Margate,AU,-43.03,147.26,Clouds,48.54,66,40,1.28,1562138862,2977.6760000000004
198,3039163,Sant Julia de Loria,AD,42.46,1.49,Clear,66.79,61,0,1.99,1562138862,2938.232
199,1702425,Maluso,PH,6.54,121.88,Clouds,84.2,79,20,17.22,1562138863,452.56800000000004
200,2214846,Misratah,LY,32.38,15.09,Clear,77.34,69,0,8.01,1562138623,2240.6960000000004
201,1487332,Verkhnyaya Inta,RU,65.99,60.32,Clear,80.04,40,0,18.3,1562138863,4566.508
202,286245,Sur,OM,22.57,59.53,Clear,90.66,57,0,15.61,1562138864,1561.844
203,2737599,Saldanha,PT,41.42,-6.55,Clear,64.2,77,2,4.76,1562138865,2866.264
204,2648341,Golspie,GB,57.97,-3.98,Clouds,54.05,71,96,12.75,1562138865,4011.524
205,1791522,Lamu,CN,35.77,102.37,Rain,68.16,45,100,6.89,1562138866,2475.284
206,779622,Havoysund,NO,71.0,24.66,Clouds,46.4,87,75,10.29,1562138866,4913.2
207,1498161,Muzhi,RU,65.4,64.7,Clear,81.84,38,0,13.76,1562138867,4525.68
208,3420768,Qasigiannguit,GL,68.82,-51.19,Clouds,37.4,93,63,5.82,1562138867,4762.344
209,3831208,Qaanaaq,GL,77.48,-69.36,Clear,42.78,54,0,3.89,1562138867,5361.616000000001
210,3026644,Souillac,FR,45.6,-0.6,Clear,70.75,60,0,10.29,1562138868,3155.5200000000004
211,3833859,Tres Arroyos,AR,-38.38,-60.28,Rain,41.16,72,24,13.82,1562138868,2655.896
212,3664321,Eirunepe,BR,-6.66,-69.87,Clear,71.4,90,3,3.38,1562138733,460.872
213,1264521,Madurai,IN,9.93,78.11,Clouds,102.2,37,20,13.87,1562138868,687.1560000000001
214,3939168,Huarmey,PE,-10.07,-78.15,Clouds,62.76,87,100,19.66,1562138869,696.844
215,1259784,Phek,IN,25.7,94.46,Rain,87.42,74,100,2.33,1562138869,1778.44
216,1013076,Colesberg,ZA,-30.72,25.1,Clear,36.3,71,0,2.59,1562138869,2125.824
217,1272864,Dharchula,IN,29.85,80.53,Rain,68.16,69,83,7.54,1562138869,2065.6200000000003
218,2132606,Samarai,PG,-10.62,150.67,Rain,75.18,82,93,7.16,1562138870,734.904
219,158289,Kasamwa,TZ,-2.84,32.42,Clear,69.6,48,0,7.0,1562138870,196.528
220,4111212,Comal,US,36.24,-92.77,Clear,71.71,100,1,3.36,1562138870,2507.8080000000004
